180,용산구,"숙명여대(삼각지역방면) 중앙버스정류장(외곽,03-010)",숙대입구역 버스중앙차로 정류장 (신용산역방면),"37.543808, 126.972291"
181,용산구,"갈월동(서울역버스환승센터방면) 중앙버스정류장 (도심,03-011)",갈월동 버스중앙차로 정류장 (서울역방면) ,"37.550973, 126.972164"
182,용산구,"갈월동(숙대입구방면) 중앙버스정류장 (외곽,03-012)",갈월동 버스중앙차로 정류장 (숙대입구방면) ,"37.549667, 126.971832"
183,용산구,이태원2동 용산한신아파트앞(해방촌방면) 버스정류장(03-150),버스정류장(용산한신아파트) 옆,"37.539974, 126.987238"
185,용산구,삼각지(보훈청방향)평양집앞 공원쉼터,삼각지역 14번출구 앞 교통섬,"37.535237, 126.974092"
187,용산구,국방부앞 버스정류장(국방부민원실)(03-185),버스정류장(전쟁기념관) 옆 ,"37.534586, 126.977389"
189,용산구,전쟁기념관(용산보건분소방면) 버스정류장(03-184),버스정류장 옆 (전쟁기념관 정문 앞) ,"37.534799, 126.976857"
191,용산구,녹사평역 1번출구앞 버스정류장(03-186),녹사평역 1번출구 앞 버스정류장 옆,"37.535054, 126.985231"
193,용산구,녹사평역 4번 출구 앞 버스정류장(03-187),녹사평역 4번출구 앞 버스정류장 옆,"37.534838, 126.985455"
197,용산구,용산역앞 광장(03-255),용산역 광장 버스정류장,"37.529076, 126.965822"
199,용산구,용산역광장앞(신용산지하차도방면) 버스정류장(03-258),용산역 광장 앞,"37.528357, 126.965479"
200,용산구,삼각지역11번출구 버스정류장(03-328남영역방면)(용산역파출소옆),삼각지역 11번출구 버스정류장,"37.536424, 126.974540"
201,용산구,"서빙고역 교차로 버스정류장(03-267,서빙고역건너편)",금호멘션 앞 버스정류장,"37.520443, 126.989874"
202,용산구,"서빙고역1번출구 버스정류장(03-157,서빙고역앞)",서빙고역1번출구 버스정류장,"37.520016, 126.989981"
203,용산구,"서빙고초등학교앞버스정류장(03-268,GS편의점)",서빙고초등학교 앞 버스정류장,"37.521185, 126.990885"
204,용산구,"원효대교 북단 버스정류장(03-331, 삼구빌딩 건너편)",원효대교 북단 버스정류장(삼구빌딩 건너편),"37.532050, 126.955545"
205,용산구,"숙대입구역 5번출구 마을버스정류장(03-565, 지센숙녀복앞)",숙대입구역 5번출구 마을버스정류장(지센숙녀복앞),"37.544189, 126.972427"
206,용산구,"갈월동 마을버스정류장(03-568, 삼성디지탈서비스센터옆)",갈월동 마을버스정류장(삼성디지탈서비스센터옆),"37.546500, 126.972073"
207,용산구,"갈월동 4호선 숙대입구 버스정류장(03-327, 여행박사앞)",숙대입구 버스정류장(여행박사앞),"37.546293, 126.971638"
208,용산구,남영동 청도양꼬치남영점앞 횡단보도앞,크리스피크림도넛 앞 횡단보도,"37.541777, 126.971796"
209,용산구,리버힐삼성아파트옆GS25시편의점앞횡단보도,GS25시 편의점 횡단보도 옆,"37.534711, 126.951792"
210,용산구,용산전자상가입구 버스정류장(03-250),세차장 횡단보도 옆,"37.534520, 126.962028"
211,용산구,"용산 꿈나무 종합타운, 보건분소 버스정류장(03-181)","버스정류장(용산꿈나무종합타운, 보건분소) 옆","37.538463, 126.964948"
212,용산구,한남나들목(A) 출입구앞,한남나들목 출입구 뒤 횡단보도 옆,"37.528955, 127.006638"
213,용산구,한남나들목(B) 출입구앞,한남나들목 출입구,"37.528965, 127.007045"
214,용산구,한강대로 크라운해태앞,크라운제과 빌딩 앞,"37.540721, 126.973359"
216,용산구,한강대로 숙대입구역2번출구앞,숙대입구역 2번출구앞,"37.545249, 126.972380"
218,용산구,한강대로 갈월동 청파동입구교차로(쌍굴다리)안 공원(갑을빌딩 맞은편),교차로(굴다리)안 공원,"37.549204, 126.971602"
220,용산구,남영삼거리 동원부동산앞 횡단보도(고려빌딩 건너편),동원부동산 앞(고려빌딩 건너편),"37.542211, 126.972494"
222,용산구,신용산역 삼거리 횡단보도앞(신용산역 5번출구 뒷편),신용산역 5번출구 뒷편,"37.529822, 126.968145"
224,용산구,용산역앞교차로 아우디한강대로전시장앞 횡단보도,아우디 한강대로 전시장 앞,"37.526365, 126.964889"
226,용산구,이태원주공아파트 담벽인도 남산공원이정표앞,이태원주공아파트 남산공원이정표앞,"37.542459, 126.988579"
227,용산구,"서울시중부기술교육원,블루스퀘어(순천향대학병원,한남오거리방면)(03161)",버스정류장(서울시중부기술교육원) 옆,"37.541300, 127.003063"
229,용산구,한강중학교(금호베스트빌앞방면)버스정류장(03-269),버스정류장(한강중학교) 옆,"37.524869, 126.991348"
230,용산구,"동빙고동(한남역,용산노인종합복지관방면)버스정류장(03-274)",버스정류장(동빙고동) 옆,"37.520867, 126.996813"
239,용산구,이태원랜드앞,"버스정류장(이태원119안전센터) 옆, 계단 앞 횡단보도","37.534602, 126.997263"
241,용산구,하이스트리트마켓앞(제일기획건너편),제일기획 대각선 건너편 횡단보도(emart24앞),"37.535508, 126.998819"
249,용산구,"이태원동남산대림아파트,용산동아파트(114공인중개사사무소앞) 버스정류장(03-149)",114공인중개사사무소앞,"37.539859, 126.987469"
250,용산구,용산전자상가?전자랜드(원효대교북단방면)버스정류장(03-137),전자랜드 주차장 앞,"37.532989, 126.958027"
251,용산구,원효2동산호아파트(청암동강변삼성아파트방면)버스정류장(03-300),셀프세차장 앞,"37.533317, 126.950510"
252,용산구,백범로 효창공원역6번출구앞 횡단보도,효창공원역 6번 출구 뒤,"37.539293, 126.961046"
253,용산구,BMW 한독모터스용산전시장 횡단보도앞,BMW 한독모터스용산전시장 횡단보도앞,"37.541289, 126.970582"
254,용산구,"숙대입구역 3,4번출구앞(군선도가게앞)","숙대입구역 3,4번 출구 사이","37.544982, 126.972305"
255,용산구,신동아아파트버스정류장(03226),신동아쇼핑 버스정류장(신동아아파트),"37.517448, 126.985373"
256,용산구,"KT용산지사(삼각지방면)중앙버스정류장(도심,03-005)",KT용산지사 중앙버스정류장 (삼각지방면),"37.531509, 126.970179"
258,용산구,"KT용산지사(신용산역방면)중앙버스정류장(외곽,03-006)",KT용산지사 중앙버스정류장 (신용산역방면),"37.532135, 126.970681"
260,용산구,용산푸르지오써밋오피스텔(해림턴부동산과스타부동산)앞 인도,푸르지오써밋 해림턴부동산 앞,"37.527223, 126.965682"
261,용산구,용산푸르지오써밋오피스텔(서울창조경제혁신센터)앞 인도,푸르지오써밋 깐부치킨 앞,"37.527657, 126.965522"
262,용산구,용산전자상가?전자랜드(용산전자상가12동방면)버스정류장(03136),"버스정류장(용산전자상가,전자랜드) 옆","37.532797, 126.958433"
263,용산구,신용산지하차도(용산전자상가입구방면)버스정류장(03251),나진 15동 주차장 앞,"37.532911, 126.963656"
264,용산구,용산꿈나무종합타원(용산경찰서방면)버스정류장(03346),버스정류장(용산꿈나무종합타원) 옆,"37.538479, 126.967151"
265,용산구,문배동이안아파트앞(문배어린이공원방면)버스정류장(03332),이안아파트앞 버스정류장,"37.538469, 126.970753"
266,용산구,금양초등학교앞횡단보도,금양초등학교 앞 횡단보도,"37.540088, 126.961592"
267,용산구,국민은행효창동지점(숙명여대정문방면)버스정류장(03240),국민은행 효창동지점 앞 버스정류장,"37.541674, 126.962226"
